,clientId,channelGrouping,date,visitNumber,visitId,hitNumber,hour,minute,campaign,medium,keyword,city,pagePath,eventCategory,eventAction,eventLabel,v2ProductName,v2ProductCategory
721,1105565736.1567826640,Paid Search,20190907,1,1567826640,8,5,24,[Search] [FR] Reference - Quatre,cpc,boucheron quatre,Paris,/fr_fr/les-creations/joaillerie/quatre.html,Product,Filter selection,boucheron_type-14,,
722,828650077.1566119418,Paid Search,20190820,5,1566329178,16,21,26,[Search] [FR] Marque,cpc,+boucheron +paris,Lyon,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 14,Rivière Vendôme Necklace,Jewelry
723,828650077.1566119418,Paid Search,20190820,5,1566329178,17,21,26,[Search] [FR] Marque,cpc,+boucheron +paris,Lyon,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 15,"Serpent Bohème Pendant, XS motif ",Jewelry
724,1278024321.1562661971,Organic Search,20190709,1,1562661971,34,10,57,(not set),organic,(not provided),Annecy,/fr_fr/les-creations/mariage-fiancailles/solitaires-diamant/solitaire-clou-de-paris-platine.html,Product,Get to product details,More detail,,
725,1168772122.1568927895,Paid Search,20190919,1,1568927894,32,23,19,[Search] [FR] Marque,cpc,+boucheron,Paris,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Toi et Moi Ring S Motif,Jewelry
726,109116054.1563019503,Paid Search,20190720,6,1563631073,14,16,6,[Search] [FR] Reference - Quatre,cpc,boucheron quatre,Toulon,/fr_fr/alliance-quatre-lumiere.html,Product,Get to product details,More detail,,
727,1599417134.1550529891,Paid Search,20190218,1,1550529890,36,23,48,[Search] [FR] Marque,cpc,boucheron,Paris,/fr_fr/les-creations/haute-joaillerie/26-vendome/porte-couture.html,Video,Cape_Lumiere - Pause,/fr_fr/les-creations/haute-joaillerie/26-vendome/porte-couture.html,,
728,936498535.1556031004,Paid Search,20190423,1,1556031000,31,16,56,[Search] [FR] Marque - Brides,cpc,bague fiancaille boucheron,Nice,/fr_fr/les-creations/haute-joaillerie/hiver-imperial.html,Video,hiver-imperial - Play,/fr_fr/les-creations/haute-joaillerie/hiver-imperial.html,,
729,293068343.1556793361,Paid Search,20190527,5,1558964589,19,15,44,[Search] [FR] Reference - Quatre,cpc,bague quatre boucheron,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 13,Serpent Bohème,Watches
730,1347239864.1564404163,Paid Search,20190729,1,1564404164,20,14,43,[Search] [FR] Generic - Joaillerie,cpc,+joaillier,Lyon,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 14,"SERPENT BOHÈME SLEEPERS, M MOTIF",Jewelry
731,1025293112.1559139625,Paid Search,20190529,1,1559139625,35,16,22,[Search] [FR] Marque,cpc,+boucheron,Issy-les-Moulineaux,/fr_fr/les-creations/joaillerie/couture/collier-long-graphique-delilah-or-jaune.html,Product,Get to product details,More detail,,
732,2137115666.1559680070,Paid Search,20190727,2,1564228238,36,13,52,[Search] [FR] Collection Serpent Bohème,cpc,bague boucheron serpent,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 22,Quatre Radiant Edition Mini Ring Single Clip Earring,Jewelry
733,1906721955.1565679894,Paid Search,20190813,1,1565679894,36,9,10,[Search] [FR] Generic - Joaillerie,cpc,joaillier luxe,Nimes,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Ring S Motif,Jewelry
734,1135608386.1565967616,Paid Search,20190816,1,1565967616,10,17,0,[Search] [FR] Marque,cpc,+boucheron,(not set),/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 8,EPURE TOURBILLON FAUCON,Watches
735,1283765080.1562437422,Paid Search,20190706,1,1562437420,18,20,26,[Search] [FR] Marque,cpc,boucheron,Paris,/fr_fr/les-creations/horlogerie/reflet.html,Video,Start playing,reflet,,
736,923578655.1569749309,Paid Search,20190929,2,1569749966,18,11,39,[Search] [FR] Marque - Joaillerie,cpc,+bagues +boucheron,Toulouse,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 9,Soleil Radiant Necklace,Jewelry
737,334708221.1564407370,Paid Search,20190729,1,1564407370,10,15,36,[Search] [FR] Generic - Joaillerie,cpc,+bijou,Lyon,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Ring L Motif,Jewelry
738,1981504313.1565496646,Paid Search,20190811,2,1565504943,9,8,29,[Search] [FR] Marque,cpc,+boucheron,Grasse,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 8,Plume de Paon Large Ring,Jewelry
739,1443682915.1546545562,Paid Search,20190508,14,1557309574,38,12,2,[Search] [FR] Marque - Joaillerie,cpc,+boucheron +bague,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 10,Plume de Paon Ear clips,Jewelry
740,1443682915.1546545562,Paid Search,20190508,14,1557309574,52,12,2,[Search] [FR] Marque - Joaillerie,cpc,+boucheron +bague,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 24,Quatre Radiant Ring,Jewelry
741,1998317548.1569145895,Paid Search,20190922,1,1569145894,42,11,54,[Search] [FR] Marque,cpc,+boucheron,Bordeaux,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 9,Serpent Bohème,Watches
742,1972543487.1568840067,Social,20190918,1,1568840067,7,22,55,(not set),referral,(not set),Paris,/en_fr/the-creations/watches/reflet/reflet-medium-stainless-steel-bracelet.html,Product,Go to Store locator,Where to find this creation,,
743,1688448737.1472059976,Organic Search,20190304,2,1551725826,16,19,59,(not set),organic,boucheron joaillerie,Paris,/fr_fr/les-creations/joaillerie/quatre.html,Video,miss_b_francais - 25%,/fr_fr/les-creations/joaillerie/quatre.html,,
744,316337084.1564473832,Paid Search,20190730,1,1564473832,12,10,4,[Search] [FR] Marque,cpc,+boucheron,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 8,"Oulu, the Owl Ring",Jewelry
745,680488914.1551127865,Paid Search,20190609,2,1560102399,32,19,50,[Search] [FR] Marque,cpc,boucheron,Paris,/fr_fr/bague-quatre-grosgrain.html,Product,Get to product details,More detail,,
